respondent,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21
r1,0,1,1,0,1,1,0,1,0,1,0,0,2,1,0,1,1,0,1,1,0
r2,1,0,0,1,2,2,1,0,1,0,1,1,3,0,1,2,2,1,2,2,1
r3,1,0,0,1,2,2,1,0,1,0,1,1,3,0,1,2,2,1,2,2,1
r4,0,1,1,0,1,1,0,1,0,1,0,0,2,1,0,1,1,0,1,1,0
r5,1,2,2,1,0,0,1,2,1,2,1,1,1,2,1,0,0,1,0,0,1
r6,1,2,2,1,0,0,1,2,1,2,1,1,1,2,1,0,0,1,0,0,1
r7,0,1,1,0,1,1,0,1,0,1,0,0,2,1,0,1,1,0,1,1,0
r8,1,0,0,1,2,2,1,0,1,0,1,1,3,0,1,2,2,1,2,2,1
r9,0,1,1,0,1,1,0,1,0,1,0,0,2,1,0,1,1,0,1,1,0
r10,1,0,0,1,2,2,1,0,1,0,1,1,3,0,1,2,2,1,2,2,1
r11,0,1,1,0,1,1,0,1,0,1,0,0,2,1,0,1,1,0,1,1,0
r12,0,1,1,0,1,1,0,1,0,1,0,0,2,1,0,1,1,0,1,1,0
r13,2,3,3,2,1,1,2,3,2,3,2,2,0,3,2,1,1,2,1,1,2
r14,1,0,0,1,2,2,1,0,1,0,1,1,3,0,1,2,2,1,2,2,1
r15,0,1,1,0,1,1,0,1,0,1,0,0,2,1,0,1,1,0,1,1,0
r16,1,2,2,1,0,0,1,2,1,2,1,1,1,2,1,0,0,1,0,0,1
r17,1,2,2,1,0,0,1,2,1,2,1,1,1,2,1,0,0,1,0,0,1
r18,0,1,1,0,1,1,0,1,0,1,0,0,2,1,0,1,1,0,1,1,0
r19,1,2,2,1,0,0,1,2,1,2,1,1,1,2,1,0,0,1,0,0,1
r20,1,2,2,1,0,0,1,2,1,2,1,1,1,2,1,0,0,1,0,0,1
r21,0,1,1,0,1,1,0,1,0,1,0,0,2,1,0,1,1,0,1,1,0
